ID     wait time   service time
1       0           5
2       0           2
3       0           2
4       0           2
5       0           6
6       3           9
7       10           2
8       8           2
9       9           9
10       16           2
11       13           2
12       12           3
13       12           2
14       12           3
15       12           5
16       16           5
17       16           5
18       18           2
19       19           5
20       20           5
21       20           2
22       21           5
23       21           3
24       19           5
25       21           9
26       29           6
27       31           5
28       34           6
29       36           9
30       42           5
31       46           9
32       50           5
33       50           2
34       48           5
35       48           2
36       49           2
37       47           6
38       50           3
39       49           5
40       49           6
41       52           9
42       58           6
43       63           2
44       62           6
45       65           2
46       62           9
47       70           3
48       71           5
49       74           5
50       74           3
51       72           2
52       72           2
53       71           2
54       70           6
55       75           5
56       75           2
57       75           5
58       77           5
59       78           6
60       79           5
61       79           6
62       83           9
63       90           3
64       89           2
65       86           6
66       91           3
67       93           3
68       91           6
69       95           3
70       93           2
71       94           9
72       98           3
73       98           6
74       99           6
75       100           5
76       104           6
77       109           2
78       107           2
79       104           6
80       106           3
81       106           9
82       112           3
83       112           5
84       112           3
85       111           6
86       112           6
87       115           6
88       119           2
89       116           3
90       114           5
91       116           9
92       122           6
93       124           6
94       129           6
95       133           2
96       132           2
97       131           9
98       136           9
99       141           2
100       139           5
101       139           3
102       137           3
103       138           2
104       138           9
105       144           2
106       143           6
107       144           6
108       145           5
109       149           6
110       154           2
111       153           2
112       153           2
113       154           5
114       154           2
115       154           2
116       153           2
117       154           6
118       159           2
119       160           5
120       162           2
121       163           5
122       163           6
123       167           3
124       169           6
125       171           5
126       174           2
127       171           6
128       176           2
129       176           2
130       175           9
131       179           9
132       186           6
133       191           2
134       188           6
135       190           3
136       188           5
137       188           2
138       186           5
139       187           2
140       188           2
141       187           2
142       184           3
143       182           2
144       179           2
145       179           6
146       180           9
147       184           6
148       185           2
149       183           3
150       183           2
151       184           2
152       181           6
153       186           6
154       191           6
155       196           2
156       193           5
157       193           9
158       200           9
159       205           9
160       213           5
161       217           9
162       222           5
163       224           2
164       224           3
165       223           2
166       223           9
167       230           2
168       230           5
169       233           2
170       231           9
171       236           9
172       244           2
173       241           2
174       242           3
175       244           3
176       244           6
177       246           3
178       248           2
179       249           2
180       247           3
181       246           5
182       249           3
183       248           3
184       249           5
185       253           6
186       256           5
187       258           2
188       259           6
189       264           2
190       264           3
191       265           2
192       263           6
193       265           5
194       269           2
195       269           3
196       267           5
197       268           9
198       276           5
199       280           6
200       285           5
