Gene.symbol	Gene.ID	adj.P.Val	logFC
KIAA0101	9768	9.07411802053327e-64	5.73775215861202
DTL	51514	1.9294603806875e-63	4.83973832602914
TYMS	7298	3.57783419516768e-63	5.13110067862399
MYB///MYB	4602///4602	2.04653380622342e-59	4.40421557655587
TPX2	22974	1.97209577980036e-58	4.64914389157822
PRC1	9055	3.06026995633531e-58	4.0195611915675
TOP2A	7153	1.58491452957391e-54	5.07385502481137
MKI67	4288	2.47843357125992e-54	4.42803114166726
CIT	11113	4.97824436873179e-54	3.68394665972627
BUB1B	701	4.19347785720131e-53	4.35455841179921
CDCA7	83879	6.59858946084737e-53	4.00211322103648
STMN1	3925	2.61172264267701e-52	4.0577945738559
CHEK1	1111	2.81246516842744e-52	4.01447083469337
CDC45	8318	2.80258192329881e-51	3.68606498233328
CENPF	1063	3.88463442185229e-51	4.56373040175273
MCM4	4173	7.8350606532591e-51	3.34660811262936
NCAPG	64151	7.87540820999872e-51	4.8861471046256
PLK4	10733	8.83467730711643e-51	3.67464476051224
HIST1H3B	8358	1.0132744730496e-50	4.82823252115484
KIF11	3832	1.2529365925138e-50	4.11866259541642
IQGAP3	128239	4.18391314611413e-50	2.42435561055301
ANLN	54443	4.52988476113127e-50	4.01538042608367
HIST2H3D///HIST2H3A///HIST2H3C	653604///333932///126961	7.18020758485312e-50	3.15047966370105
HIST1H1B	3009	4.67957693437784e-48	4.60891849046773
NUF2	83540	6.25477108796998e-48	4.09766381014554
FANCI	55215	7.60299449867862e-48	3.68898067001073
FOXM1	2305	1.08620544706943e-47	3.4351539674958
MCM10	55388	1.21840964183973e-47	3.68866980093045
MCM2	4171	1.88275374449671e-47	2.84117081391096
NUAK2	81788	4.35111007991096e-47	-3.34745904647595
SPAG5	10615	5.28678408281832e-47	3.39783803849222
DIAPH3	81624	1.97606755007562e-46	3.56730636210084
KIF23	9493	2.05022565310401e-46	4.22052780994994
CCNA2	890	2.05022565310401e-46	3.67698985564027
NUSAP1	51203	2.39664557027748e-46	3.75545813035777
KIF14	9928	2.80700322105148e-46	3.94243068678241
KIF15	56992	5.1175950243989e-46	3.7722765021105
KIAA0101	9768	5.18268090484965e-46	3.06082653316056
SPC25	57405	7.87450397195563e-46	4.00900218934614
POLQ	10721	9.34281757389914e-46	3.59522924414911
EXO1	9156	1.07454871780035e-45	4.06240538895959
RAD51AP1	10635	1.26899435992352e-45	3.91501786479958
BUB1	699	1.65549356839256e-45	4.20961921880369
ZBP1	81030	2.18131256695996e-45	-2.27362374081584
BRIP1	83990	2.30938655358563e-45	3.51186255158662
ASPM	259266	2.70316173944623e-45	4.7014620920978
		4.36853355215378e-45	3.17132447232934
CENPI	2491	6.44193901137414e-45	3.75656044844323
XRCC2	7516	6.44193901137414e-45	3.81192007993885
DLGAP5	9787	8.18011424546529e-45	4.63824332478777
CCNB2	9133	1.07114238573432e-44	4.33687933213785
NCAPH	23397	1.14712591823287e-44	3.39004311436402
ARHGAP11A	9824	1.40074446434324e-44	4.05557434434847
CDT1	81620	1.4533838267519e-44	2.52409882669891
UHRF1	29128	3.86114475717729e-44	3.67938736481746
